Gender,Age,Income (USD),Income Stability,Property Age,Property Location,Property Price,Loan Sanction Amount (USD)
F,65,1991.19,High,2005.19,Rural,195617.68,74631.37283
M,65,2625.83,High,2637.83,Rural,52756.24,27054.06584
M,18,3806.22,Low,3802.22,Urban,109405.71,39654.29676
M,43,1038.52,Low,1041.52,Rural,35989.08,10326.42543
F,26,4806.78,Low,4811.78,Urban,250554.23,87699.0231
F,65,574.17,High,572.17,Rural,46045.49,22931.06395
M,18,3150.39,Low,3162.39,Rural,42284.83,16582.98606
F,18,1332.01,Low,1327.01,Rural,38348.51,13628.95667
F,47,1022.85,Low,1023.85,Semi-Urban,31086.5,8306.699548
M,41,2101.31,Low,2111.31,Rural,58967.22,19293.61562
F,30,1058.52,Low,1061.52,Rural,87247.69,28829.96146
M,27,1392.03,Low,1389.03,Rural,253052.16,84864.70914
M,31,2016.91,Low,2019.91,Rural,27666.69,9480.554236
F,62,2916.18,High,2922.18,Semi-Urban,45959.34,25262.63039
M,56,3880.9,Low,3869.9,Semi-Urban,112757.86,37709.23052
F,65,2741.03,High,2744.03,Semi-Urban,103837.38,44286.63035
F,63,3439.2,Low,3432.2,Semi-Urban,187838.76,62162.78823
M,55,1978.83,Low,1984.83,Urban,26119.88,6887.155946
F,41,4361.97,Low,4362.97,Semi-Urban,85487.9,30469.86153
M,18,2415.72,Low,2412.72,Semi-Urban,69225.7,24598.12198
M,47,2230.52,Low,2226.52,Semi-Urban,274326.24,91009.98214
M,51,6019.16,Low,6006.16,Semi-Urban,150745.18,53050.62972
M,55,2118.72,Low,2117.72,Semi-Urban,57417.58,17402.04265
M,36,2500.03,Low,2505.03,Rural,150970.74,50999.42191
F,35,6138.03,Low,6126.03,Rural,138980.13,50998.39423
M,18,4996.3,Low,4996.3,Rural,48020.91,20391.20991
F,58,3467.95,Low,3456.95,Rural,254293.58,85184.39613
M,24,2717.34,Low,2728.34,Urban,106026.02,36938.61574
M,52,2445.84,Low,2458.84,Rural,225183.05,74611.24364
F,57,2476.94,Low,2476.94,Semi-Urban,82397.76,34263.98
M,30,3012.91,Low,3014.91,Semi-Urban,158096.45,54114.8541
F,58,3134.29,Low,3136.29,Urban,184884.05,61396.47249
M,36,3496.76,Low,3494.76,Urban,122854.99,42432.75796
M,18,1975.29,Low,1990.29,Rural,76797.04,26975.9981
M,59,3414.65,Low,3400.65,Semi-Urban,486003.26,162371.3695
F,65,3193.33,High,3193.33,Semi-Urban,214472.37,81911.26076
F,30,2835.56,Low,2842.56,Semi-Urban,44905.39,16150.09023
M,65,5905.43,High,5921.43,Urban,200477.06,79893.06166
F,26,1591.83,Low,1603.83,Rural,83066.98,28291.97053
F,47,3612.48,Low,3611.48,Semi-Urban,141480.68,48036.48107
M,24,2788.36,Low,2777.36,Semi-Urban,188602.89,64600.71875
M,41,4505.32,Low,4500.32,Rural,59453.69,21907.58283
F,48,3534.55,Low,3526.55,Semi-Urban,45778.03,15726.40301
M,41,2100.87,Low,2104.87,Rural,91126.08,30092.65759
F,32,2043.8,Low,2052.8,Rural,59898.31,20495.32209
F,43,1222.32,Low,1220.32,Semi-Urban,173061.31,56516.65474
M,18,2323.77,Low,2334.77,Rural,109368.23,38271.3582
M,43,3604.31,Low,3594.31,Rural,119174.82,40886.55314
F,38,3521.08,Low,3529.08,Rural,68078.62,24278.63973
M,64,1580.55,High,1571.55,Urban,127230.68,50932.60446
M,27,2035.38,Low,2028.38,Urban,65066.36,22235.89891
F,27,2599.78,Low,2596.78,Urban,301065.9,102326.551
M,33,1875.72,Low,1885.72,Rural,202106.91,67778.17906
F,20,7694.82,Low,7684.82,Urban,132474.25,51454.63049
M,25,1832.36,Low,1837.36,Semi-Urban,26013.73,8936.520387
M,51,2176.51,Low,2186.51,Urban,135427.07,44125.40136
F,50,2120.5,Low,2103.5,Semi-Urban,107731.67,34928.64596
M,44,6320.17,Low,6306.17,Semi-Urban,188015.27,66431.14159
M,55,3694.01,Low,3693.01,Rural,89464.59,30053.57499
M,18,2681.64,Low,2681.64,Rural,83374.94,29900.20663
F,36,1236.43,Low,1243.43,Urban,33414.83,10318.3056
M,39,3242.29,Low,3237.29,Semi-Urban,123855.53,42131.92771
M,30,1258.86,Low,1253.86,Rural,57155.76,18686.16823
F,40,1742.83,Low,1743.83,Urban,71181.91,23203.06566
M,46,2023.48,Low,2031.48,Urban,82804.79,26686.9502
F,36,879.75,Low,894.75,Rural,115771.56,37760.18245
F,60,4440.81,High,4433.81,Semi-Urban,246414.87,94308.70484
F,59,1347.99,Low,1337.99,Semi-Urban,127610.79,40107.98492
F,39,1965.47,Low,1959.47,Urban,126363.24,42042.34586
M,52,2445.83,Low,2436.83,Semi-Urban,51394.02,15946.368
M,64,4880.4,Low,4888.4,Semi-Urban,234484.62,78997.66695
F,48,4157.23,Low,4157.23,Semi-Urban,96943.59,33554.36144
F,46,2318.43,Low,2331.43,Urban,96713.73,31899.60248
M,43,2080.48,Low,2078.48,Urban,82090.14,26737.38015
M,32,2423.87,Low,2422.87,Urban,277020.39,93438.67433
M,18,1014.68,Low,1012.68,Urban,55349.27,18642.59672
F,37,2799.43,Low,2801.43,Rural,121087.55,41423.10957
F,39,3166.9,Low,3153.9,Urban,150264.33,51295.96376
F,24,3690.7,Low,3693.7,Urban,84903.13,31070.70511
M,33,5595.01,Low,5608.01,Rural,244981.81,85985.09019
F,33,4949.68,Low,4947.68,Urban,197279.88,69392.3128
M,18,1331.49,Low,1343.49,Urban,103567.81,35170.91432
M,47,1236.34,Low,1229.34,Rural,87803.56,27612.29703
F,18,1769.76,Low,1768.76,Semi-Urban,257725.06,87494.1965
F,55,1653.95,Low,1647.95,Rural,121077.65,38820.47882
M,47,1762.13,Low,1777.13,Rural,22333.53,6168.998371
M,57,3287.48,Low,3296.48,Semi-Urban,91893,30024.78259
F,26,2093.88,Low,2092.88,Urban,226043.21,76688.319
M,31,2259.56,Low,2255.56,Semi-Urban,123638.61,41687.52585
M,18,1227.4,Low,1217.4,Urban,74928.76,25433.01706
F,54,1851.11,Low,1857.11,Urban,39677.48,11626.13604
M,19,3340.94,Low,3345.94,Semi-Urban,288463.83,99113.99641
M,18,850.82,Low,854.82,Semi-Urban,45863.91,15153.99468
M,63,1427.59,Low,1429.59,Rural,272818.57,88695.60505
M,44,2459.18,Low,2472.18,Urban,113252.1,37520.87251
M,18,1296.79,Low,1295.79,Urban,23457.86,8218.860341
F,59,1346.99,Low,1337.99,Semi-Urban,127610.79,40107.47364
M,18,956.52,Low,968.52,Urban,171303.65,57540.79598
M,20,5263.05,Low,5258.05,Urban,111159.82,41574.48572
F,18,1297.6,Low,1288.6,Semi-Urban,37297.34,12962.89575
F,18,1902.91,Low,1888.91,Urban,167022.14,57293.33238
F,18,1543.3,Low,1532.3,Rural,66146.39,23179.59634
F,18,1737.35,Low,1723.35,Urban,71718.58,25110.39199
M,18,1405.95,Low,1413.95,Semi-Urban,64762.77,22072.05028
M,21,5273.82,Low,5281.82,Semi-Urban,245314.41,86439.3642
F,33,1714.48,Low,1717.48,Urban,194823.5,65261.58073
F,63,6571.7,Low,6577.7,Semi-Urban,448036.73,152776.3009
M,18,3684.63,Low,3676.63,Semi-Urban,140989.06,49999.29379
M,18,2455.57,Low,2451.57,Semi-Urban,149960.08,51758.03801
M,44,1044.91,Low,1040.91,Urban,44560.19,12991.55259
F,47,1014.1,Low,1020.1,Rural,50612.32,15135.00225
F,65,5607.21,High,5606.21,Urban,529073.48,190195.3425
F,18,2400.88,Low,2398.88,Rural,172537.41,59799.17979
M,26,1753.8,Low,1754.8,Urban,95545.65,32269.5358
F,18,2367.63,Low,2362.63,Urban,138402.51,48159.44585
M,18,1692.89,Low,1682.89,Semi-Urban,161268.5,54773.72885
M,18,1587.29,Low,1577.29,Semi-Urban,42260.86,14689.60649
F,18,2613.5,Low,2614.5,Rural,262811.03,90342.15613
M,18,1681.77,Low,1681.77,Semi-Urban,219442.44,74308.8181
F,41,1985.59,Low,1973.59,Semi-Urban,87409.01,28678.56767
M,63,3722.38,Low,3724.38,Semi-Urban,239573.85,79599.10482
M,18,2756.14,Low,2758.14,Semi-Urban,272766.59,93320.68248
M,55,4613.66,Low,4619.66,Urban,428909.86,144883.5516
M,56,1229.19,Low,1228.19,Rural,72000.14,21587.53773
M,19,3347.06,Low,3360.06,Rural,41798.5,16542.13267
M,48,2412.4,Low,2409.4,Semi-Urban,52353.44,16553.95553
F,18,2459.82,Low,2472.82,Rural,95674.81,34048.01841
M,57,3629.78,Low,3640.78,Rural,49288.67,16340.23109
M,32,1546.69,Low,1547.69,Semi-Urban,146202.63,48461.56387
F,62,3300.15,Low,3293.15,Semi-Urban,44721.76,14024.93442
F,38,6645.52,Low,6647.52,Urban,277051.3,97529.12237
F,22,2118.07,Low,2134.07,Urban,30482.69,11346.96712
F,50,5633.04,Low,5616.04,Rural,287846.96,99299.08695
M,19,3290.82,Low,3296.82,Urban,75288.3,27592.81982
F,18,1594.07,Low,1590.07,Urban,63696.75,22274.36141
F,18,1923.71,Low,1916.71,Urban,186419.2,63833.89319
F,62,1610.72,Low,1597.72,Urban,61604.32,18103.26236
F,39,3195.43,Low,3187.43,Rural,55493.09,19630.72413
M,42,4041.8,Low,4040.8,Semi-Urban,237609.71,80925.63483
M,65,1260.61,High,1258.61,Urban,107182.02,43795.32914
M,20,2669.75,Low,2671.75,Urban,139201.71,48345.89907
M,64,3004.57,Low,3000.57,Urban,471949.63,156978.7017
M,62,2029.71,Low,2016.71,Urban,66443.8,19921.03376
M,53,1835.68,Low,1845.68,Rural,150419.59,48792.71126
M,22,1918.45,Low,1918.45,Semi-Urban,79566.59,27248.38178
F,65,1610.92,High,1607.92,Urban,46745.43,24087.93751
F,65,2313.08,High,2323.08,Urban,97125.88,41735.99656
M,47,1093.93,Low,1100.93,Semi-Urban,56301.35,16616.12182
F,58,3450.77,Low,3464.77,Urban,53592.64,17623.8136
F,33,2751.31,Low,2763.31,Urban,65001.3,22717.50913
M,59,1798.8,Low,1811.8,Semi-Urban,103338.6,32191.0826
M,24,1847.5,Low,1842.5,Semi-Urban,79918.06,27133.12711
F,18,3242.38,Low,3244.38,Rural,90188.79,32999.78051
M,47,4027.77,Low,4029.77,Semi-Urban,362378.75,122428.7604
F,52,2694.37,Low,2706.37,Rural,128075.7,42481.61401
M,34,4204.36,Low,4213.36,Urban,65167.27,23942.13115
M,18,1743.41,Low,1743.41,Semi-Urban,149990.95,51042.23215
M,65,3175.1,High,3179.1,Semi-Urban,132752.31,54207.57508
M,30,1652.44,Low,1664.44,Semi-Urban,37283,12146.08081
M,18,1586.56,Low,1589.56,Rural,113361.19,38854.71723
F,18,2723.91,Low,2740.91,Semi-Urban,304512.42,104195.5213
M,23,1441.29,Low,1442.29,Semi-Urban,10574.99,3506.733198
F,60,1339.63,Low,1330.63,Rural,133034.2,42118.36138
M,25,1029.98,Low,1043.98,Urban,18365.45,5689.359028
M,21,1581,Low,1597,Urban,179901.84,60832.32583
M,58,3130.58,Low,3137.58,Urban,82091.74,26629.71567
F,50,2758.2,Low,2761.2,Semi-Urban,41253.01,13259.94722
M,47,3294.5,Low,3293.5,Urban,88758.9,29902.9863
F,47,1998.94,Low,2011.94,Semi-Urban,63440.16,20178.93285
M,65,1265.21,High,1279.21,Urban,73591.44,32524.72126
F,36,4271.36,Low,4264.36,Semi-Urban,195774.84,67815.39599
F,65,3288.88,High,3274.88,Urban,87687.5,39551.06331
F,35,7176.77,Low,7173.77,Rural,65052.48,27231.94764
F,20,2461.33,Low,2466.33,Rural,164972.78,57165.30768
M,61,1258.38,High,1245.38,Rural,148798.45,58221.18642
F,23,5157.89,Low,5157.89,Rural,384903.39,133560.2239
M,54,5621.97,Low,5627.97,Rural,146610.48,51303.71134
F,45,4256.55,Low,4263.55,Rural,150151.8,52045.84307
M,63,3880.85,High,3874.85,Urban,302114.47,112111.0522
M,43,2455.6,Low,2445.6,Rural,212248.65,70976.59029
F,41,1358.2,Low,1349.2,Urban,90495.56,29213.23742
F,18,4151.12,Low,4144.12,Rural,131779.87,47895.37198
M,39,1554.03,Low,1564.03,Semi-Urban,65003.79,20644.23465
M,61,2165.3,Low,2162.3,Rural,106494.65,33735.34118
M,38,2800.08,Low,2812.08,Semi-Urban,173625.19,58485.78787
M,18,2127.44,Low,2129.44,Urban,191233.67,65427.75038
M,36,2471.63,Low,2471.63,Urban,220540.34,74199.25133
F,48,3538.55,Low,3536.55,Semi-Urban,45778.03,15733.56088
M,48,3047.4,Low,3054.4,Rural,143121.71,47974.30412
F,57,1841.25,Low,1845.25,Semi-Urban,132858.93,42540.65336
F,23,1631.58,Low,1646.58,Semi-Urban,60394.3,20679.70492
F,31,958.65,Low,944.65,Rural,56334.62,18255.95858
M,18,1392.77,Low,1392.77,Rural,219275.27,74232.8749
F,65,995.22,High,996.22,Rural,54955.89,26356.25703
M,55,1852.13,Low,1842.13,Rural,24819.45,6450.45204
F,20,5102.6,Low,5104.6,Semi-Urban,174638.59,62835.74613
F,52,2107.61,Low,2116.61,Urban,77610.31,24790.27342
F,34,947.63,Low,955.63,Urban,49252.26,15501.70422
M,41,3329.1,Low,3316.1,Semi-Urban,104497.4,35555.75814
F,43,3029.24,Low,3034.24,Rural,157505.98,53418.40387
F,55,3529.52,Low,3534.52,Rural,309476.34,104029.425
F,46,1933.67,Low,1942.67,Semi-Urban,278985.47,92593.59188
F,18,1142.26,Low,1137.26,Rural,128331.77,43661.41944
M,40,2630.73,Low,2624.73,Urban,113239.83,37998.87812
F,38,3773.4,Low,3781.4,Semi-Urban,234823.27,80272.51529
M,43,2621.37,Low,2621.37,Semi-Urban,128272.22,42666.75933
F,27,2923.42,Low,2920.42,Rural,121687.22,42539.83278
F,65,3157.37,High,3160.37,Rural,138644.45,56680.21449
F,22,2556.39,Low,2548.39,Rural,82899.79,29528.31922
M,64,1592.21,Low,1590.21,Semi-Urban,50246.48,13742.3351
F,43,1538.23,Low,1531.23,Urban,221415.47,73217.75861
M,18,2110.63,Low,2115.63,Rural,46988.75,17096.30356
F,58,1410.29,Low,1422.29,Semi-Urban,27193.03,6530.473809
M,30,4882.44,Low,4883.44,Urban,106929.14,38976.16526
F,47,1010.85,Low,1010.85,Semi-Urban,31086.5,8293.917649
M,52,2764.55,Low,2763.55,Semi-Urban,106097.1,34651.80834
F,45,925.11,Low,930.11,Semi-Urban,61677.63,18642.9514
M,56,2901.67,Low,2890.67,Semi-Urban,23663.18,6779.910032
M,62,2029.52,Low,2029.52,Urban,68641.28,20665.64683
F,47,2513.06,Low,2515.06,Rural,332202.8,111255.453
F,53,1404.27,Low,1407.27,Rural,134092.6,43099.86387
F,56,3466.63,Low,3467.63,Rural,285126.71,95704.62345
M,18,2214.1,Low,2224.1,Rural,45517.82,16710.55977
M,60,3174.79,Low,3161.79,Semi-Urban,106221.02,34473.94556
M,33,2828.95,Low,2840.95,Semi-Urban,41263.13,14448.78131
F,48,1991.3,Low,1995.3,Urban,174745.05,57613.96949
M,65,811.88,High,822.88,Rural,36160.78,19624.07586
F,31,2911.38,Low,2907.38,Rural,50473.92,18289.1574
M,20,2302.81,Low,2312.81,Urban,187682.5,64260.07216
M,24,3144.76,Low,3130.76,Rural,211667.77,72987.13019
M,65,1402.41,High,1417.41,Semi-Urban,61556.66,28485.03055
M,18,1679.08,Low,1692.08,Rural,41510.14,14818.7785
F,27,2935.71,Low,2925.71,Semi-Urban,53250.7,19284.41718
F,40,2121.8,Low,2138.8,Semi-Urban,125310.1,41643.2279
M,42,4133.61,Low,4125.61,Semi-Urban,184422.05,63149.54236
M,45,2006.6,Low,1992.6,Semi-Urban,143901.87,47122.94896
F,26,1920.86,Low,1922.86,Rural,122398.44,41835.2328
M,64,2193.34,High,2208.34,Urban,204220.41,77433.28895
F,65,1254.49,High,1253.49,Semi-Urban,273962.25,99911.57274
F,20,2061.92,Low,2045.92,Rural,256768.41,87581.44296
F,35,1831.31,Low,1816.31,Urban,211515.14,70820.55984
F,33,3269.78,Low,3267.78,Rural,193900.54,66677.23003
M,22,1819.45,Low,1824.45,Rural,44239.95,15558.77819
M,52,3201.05,Low,3207.05,Semi-Urban,176028.32,58592.49449
F,18,2002.95,Low,2005.95,Rural,72027.09,25632.17019
F,40,2123.25,Low,2126.25,Urban,36158.71,11828.36057
F,18,3333.02,Low,3318.02,Urban,275864.29,95316.60966
M,65,1076.15,High,1069.15,Urban,279712.81,101559.383
F,63,3276.57,Low,3262.57,Rural,376315.88,125580.4405
F,64,5238.53,Low,5248.53,Semi-Urban,90380.06,31194.69766
F,55,3027.74,Low,3017.74,Semi-Urban,228215.8,75936.50867
M,50,2296.87,Low,2296.87,Semi-Urban,76247.24,24305.36606
F,50,984.6,Low,988.6,Urban,39330.4,10938.89627
M,27,1420.97,Low,1411.97,Urban,40193.55,13251.52516
F,18,2761.67,Low,2758.67,Urban,266178.37,91484.88939
M,63,4879.36,Low,4883.36,Urban,78138.15,26692.81192
M,58,4187.14,Low,4191.14,Urban,176141.43,59301.02553
M,21,3419.77,Low,3416.77,Urban,125042.71,44274.98786
M,38,6087.36,Low,6082.36,Rural,244341.22,85868.63014
M,34,2046.79,Low,2047.79,Urban,66784.73,22275.13845
F,24,1579.79,Low,1575.79,Semi-Urban,74925.51,25419.14052
M,33,2004.54,Low,2012.54,Semi-Urban,162086.75,54189.88525
F,51,2286.3,Low,2291.3,Rural,155484.43,51346.80002
M,49,1606.74,Low,1606.74,Semi-Urban,102189.73,32393.18182
F,38,3679.16,Low,3673.16,Rural,30014.82,11647.02481
M,60,3923.93,Low,3941.93,Semi-Urban,65143.78,21457.47576
F,43,4908.23,Low,4903.23,Rural,55022.64,20909.23218
M,63,2273.05,Low,2276.05,Urban,56400.25,16725.18339
F,30,1161.51,Low,1160.51,Semi-Urban,41147.1,13171.7408
M,48,1486.83,Low,1486.83,Rural,59326.72,18227.18591
F,30,4150.3,Low,4149.3,Semi-Urban,146040.83,51463.03738
M,53,1708.47,Low,1707.47,Semi-Urban,44580.41,12828.58762
F,62,2991.88,Low,3002.88,Rural,44343.62,13867.62217
M,33,1582.11,Low,1593.11,Semi-Urban,71696.06,23396.10968
M,28,3181.87,Low,3195.87,Urban,48639.8,17821.99053
F,24,2874.18,Low,2873.18,Urban,343543.8,117114.3317
F,21,3211.84,Low,3210.84,Rural,348103.48,119366.4411
M,39,3090.46,Low,3089.46,Rural,182091.73,61816.7087
M,60,2481.54,High,2469.54,Urban,330255.62,120367.3954
F,36,3738.69,Low,3727.69,Rural,234797.2,80652.49117
M,33,1521.29,Low,1508.29,Semi-Urban,136537.1,45102.55622
M,18,1753.34,Low,1747.34,Rural,28438.1,10493.93875
M,34,1372.97,Low,1379.97,Urban,130636.83,43037.90174
F,50,1423.16,Low,1422.16,Rural,33961.21,9719.077202
F,32,1831.99,Low,1818.99,Urban,39554.28,13295.81115
F,64,3516.74,Low,3521.74,Semi-Urban,195699.28,64809.5526
F,23,3769.8,Low,3777.8,Semi-Urban,134941.79,47903.99255
M,58,3118.92,Low,3122.92,Rural,252963.46,84152.05127
M,58,1730.22,Low,1737.22,Rural,79128.34,24340.19647
F,22,1293.9,Low,1286.9,Semi-Urban,104606.87,35253.81729
F,44,1889.51,Low,1877.51,Rural,81556.52,26652.80871
F,18,1671.41,Low,1663.41,Urban,88804.13,30785.28052
F,18,2512.21,Low,2506.21,Urban,59745.58,21884.93772
F,28,3306.33,Low,3301.33,Rural,200376.82,69284.06158
M,33,1619.36,Low,1630.36,Semi-Urban,115881.66,38276.69027
F,42,2143.23,Low,2132.23,Urban,121084.23,40210.9564
F,18,3156,Low,3150,Rural,216202.45,75236.91207
F,23,2025.7,Low,2018.7,Urban,118772.82,40819.39763
M,57,1453.25,Low,1455.25,Rural,48035.32,13688.99888
M,46,1341.42,Low,1336.42,Semi-Urban,56761.14,17096.61272
F,46,4169.69,Low,4162.69,Rural,55862.23,20197.72578
M,37,1265.25,Low,1260.25,Urban,239599.05,79286.05993
M,55,1921.21,Low,1910.21,Rural,105063.87,33475.67362
F,35,2098.27,Low,2104.27,Semi-Urban,65737.96,21998.05164
M,28,2810.01,Low,2800.01,Rural,349693.49,118695.0029
M,21,2029.15,Low,2016.15,Semi-Urban,245677.08,83232.60921
F,56,5800.54,Low,5801.54,Urban,234658.01,81000.24154
M,18,1406.57,Low,1395.57,Urban,121059.96,41111.75809
F,20,2608.5,Low,2608.5,Rural,46550.97,17533.88694
F,65,1621,High,1626,Semi-Urban,29182.27,18064.78758
M,62,1823.81,High,1830.81,Rural,287492.95,105319.6889
M,18,16778.62,Low,16781.62,Semi-Urban,513015,188362.3254
F,62,1981.21,High,1985.21,Semi-Urban,149652.11,59137.23875
F,65,2152.22,High,2154.22,Rural,92299.09,40083.90447
M,57,3287.48,Low,3291.48,Semi-Urban,91893,30022.22621
M,18,1736.79,Low,1722.79,Rural,80209.46,27863.56663
F,18,5969.07,Low,5966.07,Rural,357456.34,125563.8879
M,34,1704.81,Low,1719.81,Urban,76892.84,25328.04341
M,29,2487.43,Low,2494.43,Semi-Urban,204485.01,69241.67767
F,49,1891.99,Low,1899.99,Urban,150655.26,49343.30033
M,32,2561.68,Low,2573.68,Semi-Urban,48798.4,16785.7801
F,37,2023.63,Low,2029.63,Urban,111828.58,37383.79176
M,46,2322.63,Low,2332.63,Urban,46118.04,14670.33525
M,34,1940,Low,1927,Rural,48900.62,16289.15251
M,27,1840.63,Low,1840.63,Urban,103358.16,34903.02594
M,64,2988.84,High,2984.84,Semi-Urban,162548.32,64100.97899
M,18,3191.91,Low,3187.91,Urban,127291.2,45034.0906
F,46,486.91,Low,491.91,Rural,24597.61,5935.854077
M,18,6590.97,Low,6577.97,Rural,333177.73,117802.9054
F,41,2604.54,Low,2598.54,Rural,292741.01,98563.83565
M,18,1516.75,Low,1512.75,Urban,97608.62,33350.40611
F,25,2669.54,Low,2672.54,Urban,306547.51,104400.5039
M,52,1818.12,Low,1809.12,Semi-Urban,242282.96,79426.46215
M,47,1077.83,Low,1089.83,Urban,63712.56,19229.59677
F,63,3926.89,High,3935.89,Semi-Urban,488164.1,174760.6202
F,35,1882.43,Low,1872.43,Urban,43814.35,14542.61576
F,50,2578.76,Low,2578.76,Semi-Urban,101218.77,33218.16848
F,65,1329.46,High,1331.46,Semi-Urban,52687.43,25660.81346
F,38,3927.75,Low,3918.75,Urban,86182.74,30629.32307
M,45,682.61,Low,671.61,Rural,116873.24,36967.11132
F,60,1488.84,Low,1498.84,Semi-Urban,26646.73,6268.052413
F,24,3792.19,Low,3793.19,Urban,70747.26,26418.32921
F,42,2021.29,Low,2019.29,Urban,403693.46,135022.81
M,57,2131.87,Low,2132.87,Semi-Urban,57443.17,17266.8964
M,28,1582.91,Low,1584.91,Semi-Urban,86213.05,28664.29145
F,46,2743.56,Low,2753.56,Rural,165053,55426.65811
F,61,4261.85,Low,4261.85,Semi-Urban,241785.98,81287.32051
F,65,3851.51,High,3844.51,Semi-Urban,239687.92,91050.92073
M,21,1893.14,Low,1906.14,Semi-Urban,22622.97,8180.18572
F,54,1657.06,Low,1643.06,Urban,100763.21,31936.93794
M,22,1570.84,Low,1571.84,Semi-Urban,66481.3,22497.93273
M,53,2551.52,Low,2544.52,Rural,75750.43,24433.70707
F,65,1148.93,High,1152.93,Urban,80435.17,34935.90879
F,56,752.01,Low,770.01,Urban,51081.6,14180.9584
M,56,1232.52,Low,1237.52,Rural,113980.79,35695.83099
M,60,6094.29,Low,6084.29,Urban,78355.08,28238.16958
M,63,3061.36,Low,3065.36,Urban,109975.18,35528.2654
M,61,1828.79,Low,1830.79,Rural,128859.36,40906.38182
F,57,1503.03,Low,1511.03,Urban,77974.2,23898.25446
F,55,1076.96,Low,1070.96,Rural,89972.1,27781.73692
F,37,2100.66,Low,2106.66,Urban,133136.02,44619.99204
F,18,2359.33,Low,2367.33,Semi-Urban,124815.65,43455.74624
M,18,1293.97,Low,1298.97,Urban,83711.96,28459.14319
F,42,2947.82,Low,2945.82,Urban,169185.05,57195.95438
M,65,1550.38,High,1553.38,Semi-Urban,85907.5,36809.95112
F,19,2110.64,Low,2110.64,Semi-Urban,207487.14,70888.62978
F,65,649,High,665,Rural,63730.37,28957.3548
M,35,2535.51,Low,2531.51,Semi-Urban,103358.75,34841.02008
M,49,4131.13,Low,4123.13,Rural,194997.23,66421.32944
M,56,3390.52,Low,3377.52,Urban,77872.61,25626.24561
F,44,2399.43,Low,2398.43,Semi-Urban,360693.95,120669.8451
M,54,2356.13,Low,2350.13,Semi-Urban,118980.18,38400.99615
F,44,2617.15,Low,2619.15,Urban,145607.29,48781.59915
M,64,1408.12,Low,1400.12,Urban,107080.01,32779.97719
M,65,1886.73,High,1880.73,Urban,75263.19,33711.59375
M,23,1165.01,Low,1162.01,Semi-Urban,62557.24,20683.65933
M,18,2424.86,Low,2424.86,Rural,32423.71,12522.48626
F,44,2685.95,Low,2685.95,Rural,73404.59,24735.01097
M,65,3803.15,High,3788.15,Rural,36747.55,22866.61488
M,30,5472.72,Low,5462.72,Semi-Urban,107264.49,39548.91701
F,64,2746.59,High,2751.59,Rural,42425.5,24019.16131
M,37,4115.14,Low,4119.14,Rural,481199.24,163499.1837
M,29,6856.33,Low,6865.33,Rural,52239.07,22844.55838
F,21,1422.3,Low,1412.3,Semi-Urban,195874.99,66120.7772
F,26,2190.85,Low,2185.85,Urban,65480.38,22850.38665
F,18,5522.59,Low,5538.59,Semi-Urban,168218.43,61273.96564
M,18,4373.33,Low,4369.33,Urban,228420.65,80212.78922
M,40,2296.23,Low,2294.23,Semi-Urban,225383.69,75191.52735
M,33,1094.81,Low,1094.81,Urban,34155.45,10419.70442
F,45,3998.7,Low,3993.7,Semi-Urban,156905.26,53768.88487
M,53,1951.24,Low,1936.24,Semi-Urban,38029.48,10869.13612
F,51,2097.3,Low,2107.3,Semi-Urban,114423.06,37087.34234
M,25,1977.84,Low,1970.84,Urban,88986.95,30370.49521
M,33,2315.07,Low,2317.07,Urban,142413.47,48033.71651
F,32,2317.02,Low,2332.02,Rural,212098.51,71903.70445
M,65,1593.76,High,1593.76,Semi-Urban,140674.89,55249.82051
M,18,1676.43,Low,1676.43,Rural,166407.54,56764.00639
M,51,6305.08,Low,6314.08,Semi-Urban,330068.85,113591.2886
F,39,3824.29,Low,3826.29,Semi-Urban,97366.53,34068.95746
M,19,1395.1,Low,1410.1,Rural,48079.6,16657.07409
M,27,1344.45,Low,1343.45,Rural,32731.93,10808.78346
M,61,1732.79,Low,1731.79,Semi-Urban,119282.45,37313.9515
M,35,1962.87,Low,1960.87,Urban,294975.5,98760.79351
M,64,3481.93,Low,3468.93,Rural,194389.26,64364.12251
F,38,1280.38,Low,1281.38,Urban,49049.09,15453.7094
M,59,2120.94,Low,2113.94,Rural,30463.57,8306.365175
F,53,1577.36,Low,1576.36,Urban,34539.68,9695.888523
F,42,2302.75,Low,2299.75,Semi-Urban,89349.71,29580.28121
M,40,1345.02,Low,1334.02,Rural,29031.66,8532.913184
F,23,2008.59,Low,2018.59,Semi-Urban,361593.62,122239.2445
F,55,1524.69,Low,1512.69,Rural,122565.69,39185.08718
M,55,5539.8,Low,5551.8,Urban,237566.71,81559.11052
F,53,1731.55,Low,1728.55,Urban,40532.49,11865.59239
F,61,1807.13,Low,1814.13,Rural,30377.17,8041.710751
M,65,2368.55,High,2357.55,Urban,106726.75,44770.723
M,18,4284.79,Low,4284.79,Rural,81515.42,42381.23
F,46,826,Low,823,Rural,54258.63,16242.00514
F,33,2017.47,Low,2025.47,Rural,59951.87,20406.77281
F,55,1660.26,Low,1666.26,Semi-Urban,186383.63,60494.42554
F,41,2001.84,Low,2014.84,Urban,251117.33,83837.48359
F,30,2160.49,Low,2165.49,Semi-Urban,45075.3,15515.84842
